frame,time_s,transfer_ratio,authority_gap,rate_clip_delta,jerk_clip_delta,hard_clip_delta,smoothing_delta,first_stage,entry_schedule_active,commit_active,entry_assist_active,turn_feas_active,turn_feas_infeasible,turn_feas_margin_g,turn_feas_speed_delta_mps
188,12.605,1.000000,0.000000,0.000000,0.075015,0.014971,0.001175,2.0,0,0,0,1,0,0.168026,0.000000
189,12.672,1.000000,0.000000,0.000000,0.115606,0.000000,0.005579,2.0,0,0,0,1,0,0.174769,0.000000
190,12.705,1.000000,0.000000,0.000000,0.125030,0.071167,0.004643,2.0,0,0,0,1,0,0.189013,0.000000
191,12.738,1.000000,0.000000,0.007480,0.263155,0.101545,0.001654,1.0,0,0,0,1,0,0.146053,0.000000
192,12.772,1.000000,0.000000,0.000000,0.151961,0.119902,0.000219,2.0,0,0,0,1,0,0.140294,0.000000
193,12.838,1.000000,0.000000,0.000000,0.192069,0.152570,0.000008,2.0,0,0,0,1,0,0.163014,0.000000
194,12.872,1.000000,0.000000,0.000000,0.217710,0.168673,0.000028,2.0,0,0,0,1,0,0.172561,0.000000
195,12.938,1.000000,0.000000,0.002576,0.269896,0.193191,0.000442,1.0,0,0,0,1,0,0.170962,0.000000
196,12.972,1.000000,0.000000,0.012080,0.374271,0.211168,0.000410,1.0,0,0,0,1,0,0.183352,0.000000
197,13.005,1.000000,0.000000,0.006085,0.449398,0.178167,0.004479,1.0,0,0,0,1,0,0.187044,0.000000
198,13.038,1.000000,0.000000,0.059944,0.530838,0.168061,0.002519,1.0,0,0,0,1,0,0.180638,0.000000
199,13.072,1.000000,0.000000,0.000000,0.506621,0.123670,0.005613,2.0,0,0,0,1,0,0.183479,0.000000
200,13.138,1.000000,0.000000,0.008821,0.519177,0.173297,0.003128,1.0,0,0,0,1,0,0.204564,0.000000
201,13.205,1.000000,0.000000,0.007480,0.305161,0.264735,0.008528,1.0,0,0,0,1,0,0.152130,0.000000
202,13.238,1.000000,0.000000,0.250659,0.444583,0.268334,0.000891,1.0,0,0,0,1,0,0.159006,0.000000
203,13.272,1.000000,0.000000,0.322477,0.449899,0.269548,0.000031,1.0,0,0,0,1,0,0.183651,0.000000
204,13.338,1.000000,0.000000,0.108742,0.391169,0.268404,0.000086,1.0,0,0,0,1,0,0.184837,0.000000
205,13.372,1.000000,0.000000,0.451544,0.562730,0.230645,0.003494,1.0,0,0,0,1,0,0.188282,0.000000
206,13.405,1.000000,0.000000,0.406910,0.699619,0.189549,0.003978,1.0,0,0,0,1,0,0.183143,0.000000
207,13.438,1.000000,0.000000,0.547697,0.630707,0.199201,0.001241,1.0,0,0,0,1,0,0.193210,0.000000
208,13.472,1.000000,0.000000,0.423006,0.842483,0.137550,0.005125,1.0,0,0,0,1,0,0.190184,0.000000
209,13.505,1.000000,0.000000,0.105789,0.786143,0.098120,0.003294,1.0,0,0,0,1,0,0.194417,0.000000
210,13.572,1.000000,0.000000,0.388343,0.000000,0.000000,0.000000,1.0,0,0,0,1,0,0.174282,0.000000
211,13.805,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0,0,0,0,1,0,0.186319,0.000000
212,13.839,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0,0,0,0,1,0,0.193193,0.000000
213,13.872,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0,0,0,0,1,0,0.198635,0.000000
214,13.905,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0,0,0,0,1,0,0.207772,0.000000
215,13.972,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0,0,0,0,1,0,0.210445,0.000000
216,14.005,0.662467,0.123734,0.123734,0.000000,0.000000,0.000000,1.0,0,0,0,1,0,0.210598,0.000000
217,14.039,0.864502,0.097414,0.097414,0.000000,0.000000,0.000000,1.0,0,0,0,1,0,0.213563,0.000000
218,14.072,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0,0,0,0,0,0,0.000000,0.000000
219,14.105,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0,0,0,0,0,0,0.000000,0.000000
220,14.139,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0,0,0,0,0,0,0.000000,0.000000
221,14.172,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0,0,0,0,0,0,0.000000,0.000000
222,14.239,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0,0,0,0,0,0,0.000000,0.000000
223,14.272,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0,0,0,0,0,0,0.000000,0.000000
224,14.305,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0,0,0,0,0,0,0.000000,0.000000
225,14.372,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0,0,0,0,0,0,0.000000,0.000000
226,14.405,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0,0,0,0,0,0,0.000000,0.000000
227,14.439,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0,0,0,0,0,0,0.000000,0.000000
228,14.505,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0,0,0,0,0,0,0.000000,0.000000
229,14.539,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0,0,0,0,0,0,0.000000,0.000000
230,14.572,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0,0,0,0,0,0,0.000000,0.000000
231,14.639,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0,0,0,0,0,0,0.000000,0.000000
232,14.672,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0,0,0,0,0,0,0.000000,0.000000
233,14.705,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0,0,0,0,0,0,0.000000,0.000000
234,14.772,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0,0,0,0,0,0,0.000000,0.000000
235,14.805,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0,0,0,0,0,0,0.000000,0.000000
236,14.839,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0,0,0,0,0,0,0.000000,0.000000
237,14.872,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0,0,0,0,0,0,0.000000,0.000000
238,14.905,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0,0,0,0,0,0,0.000000,0.000000
239,14.939,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0,0,0,0,0,0,0.000000,0.000000
240,15.005,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0,0,0,0,0,0,0.000000,0.000000
241,15.039,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0,0,0,0,0,0,0.000000,0.000000
242,15.105,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0,0,0,0,0,0,0.000000,0.000000
243,15.139,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0,0,0,0,0,0,0.000000,0.000000
244,15.172,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0,0,0,0,0,0,0.000000,0.000000
245,15.205,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0,0,0,0,0,0,0.000000,0.000000
246,15.272,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0,0,0,0,0,0,0.000000,0.000000
247,15.305,1.000000,0.000000,0.000000,0.353248,0.066077,0.000000,2.0,0,0,0,1,0,0.234999,0.000000
248,15.372,1.000000,0.000000,0.000000,0.329819,0.043406,0.000000,2.0,0,0,0,1,0,0.235000,0.000000
